AIRLINE,ORIGIN_AIRPORT,DESTINATION_AIRPORT,ARRIVAL_DELAY
AA,JAC,DFW,43.0
AA,DCA,CLT,14.0
AA,PDX,PHX,-9.0
B6,BUF,FLL,11.0
B6,PBI,HPN,36.0
B6,BOS,DCA,-4.0
B6,RSW,JFK,8.0
AS,LAX,SEA,10.0
AS,SAN,PDX,-8.0
EV,COS,IAH,-14.0
OO,CVG,IAH,55.0
OO,SAT,IAH,-24.0
UA,DEN,SFO,-8.0
EV,BNA,EWR,-28.0
OO,MRY,LAX,49.0
OO,DEN,MTJ,2.0
UA,MSY,IAH,-19.0
UA,RSW,ORD,-16.0
AA,EWR,DFW,45.0
AA,AUS,DFW,28.0
MQ,CHA,ORD,-19.0
OO,DSM,MSP,-14.0
UA,LAS,IAH,-15.0
UA,MCO,IAH,-16.0
AA,IAD,DFW,-22.0
AA,PIT,DFW,30.0
HA,LIH,HNL,-2.0
AA,MSP,DFW,279.0
AS,ANC,CDV,5.0
DL,LAX,MSP,-8.0
DL,ATL,DCA,-20.0
DL,DTW,ATL,-1.0
DL,ATL,IAD,-15.0
EV,DFW,GRK,-13.0
EV,EWR,STL,5.0
MQ,DFW,SAF,-11.0
MQ,ORD,EVV,0.0
MQ,ORD,DTW,-10.0
NK,RSW,MSP,-10.0
NK,SAN,LAS,-5.0
OO,GJT,PHX,-12.0
OO,MSP,RHI,-3.0
OO,IAH,MSP,-30.0
OO,SLC,BIL,-16.0
OO,SLC,FAT,1.0
OO,DEN,PHX,10.0
UA,EWR,IAH,12.0
NK,ORD,OAK,23.0
WN,BNA,LAS,-9.0
WN,BUR,LAS,26.0
WN,BWI,BDL,-12.0
WN,BWI,FLL,4.0
WN,ELP,LAX,-19.0
WN,LAS,MDW,-25.0
WN,MCO,ATL,-4.0
WN,OKC,HOU,-8.0
WN,SAN,PHX,-1.0
AA,MIA,ORD,-13.0
AA,DFW,ORD,-24.0
B6,DCA,BOS,-2.0
B6,JFK,RDU,-8.0
B6,JFK,FLL,49.0
B6,BOS,TPA,2.0
AS,PSG,WRG,-5.0
AS,PDX,LAX,-5.0
DL,DTW,LAX,12.0
UA,OGG,LAX,-19.0
UA,SAN,IAH,-14.0
UA,TPA,EWR,40.0
UA,TPA,IAH,-21.0
DL,DTW,SEA,1.0
DL,DTW,BWI,-8.0
DL,ATL,VPS,-6.0
OO,MSP,SFO,-24.0
OO,DEN,COS,-5.0
DL,DTW,LGA,-8.0
DL,PHX,SEA,35.0
EV,CAK,EWR,10.0
OO,SFO,RNO,31.0
OO,DTW,SBN,22.0
UA,CLE,RSW,25.0
UA,FLL,EWR,-19.0
DL,DTW,PHL,-13.0
DL,DTW,DCA,15.0
MQ,SPS,DFW,-18.0
OO,SBA,PDX,-10.0
DL,JFK,FLL,12.0
DL,DTW,MSP,-13.0
DL,SLC,ATL,-18.0
DL,MDW,ATL,-13.0
DL,BDL,ATL,-14.0
EV,XNA,ATL,-7.0
EV,AGS,ATL,-8.0
EV,LGA,CLE,-10.0
EV,DTW,BGR,-10.0
F9,MCO,IND,-31.0
F9,DEN,CID,-13.0
HA,HNL,PDX,-18.0
MQ,DSM,ORD,-7.0
MQ,DFW,ROW,0.0
NK,LGA,FLL,-38.0
OO,SLC,BZN,-5.0
OO,DEN,HDN,-6.0
OO,ORD,DAY,-9.0
UA,HNL,LAX,2.0
UA,EWR,SFO,0.0
WN,DCA,MKE,-15.0
WN,DEN,ATL,-4.0
WN,ATL,MDW,-15.0
WN,AUS,HRL,14.0
WN,BWI,TPA,41.0
WN,FLL,AUS,-3.0
WN,LAS,DEN,53.0
WN,LAS,ONT,-6.0
WN,LAX,MDW,-26.0
WN,MCO,STL,-5.0
WN,MDW,PHX,0.0
WN,MSY,ATL,-13.0
WN,OAK,LAX,-1.0
WN,PHX,ELP,8.0
WN,SLC,DEN,-8.0
AA,PBI,DFW,-27.0
AA,DFW,ELP,-12.0
AA,MIA,MCO,13.0
AA,DFW,STL,-31.0
AA,DFW,SNA,-3.0
AA,MIA,DFW,5.0
AA,PHL,CLT,-5.0
B6,PVD,MCO,-21.0
MQ,ORD,LEX,-6.0
UA,LAS,SFO,-9.0
AA,HNL,LAX,19.0
B6,BDL,TPA,-24.0
DL,DTW,SAN,-3.0
EV,MGM,ATL,-7.0
OO,DEN,DFW,51.0
DL,FLL,MSP,9.0
EV,EWR,CLT,-5.0
EV,TLH,ATL,11.0
HA,KOA,HNL,2.0
MQ,XNA,DFW,-8.0
MQ,JFK,CVG,4.0
UA,KOA,LAX,-24.0
UA,EWR,DEN,22.0
UA,EWR,TPA,-10.0
UA,EWR,AUS,1.0
UA,LAX,DEN,-18.0
DL,DTW,TPA,9.0
DL,EWR,ATL,8.0
DL,MSP,DTW,-1.0
DL,JFK,SFO,-35.0
DL,MSP,EWR,-16.0
DL,ATL,RIC,-12.0
DL,MSP,LGA,-18.0
DL,MIA,MSP,-7.0
DL,MCO,ATL,-5.0
EV,ORD,TVC,26.0
EV,EWR,MKE,-9.0
EV,DTW,RIC,4.0
EV,ATL,BTR,-18.0
F9,LAX,DEN,92.0
F9,DEN,LAS,-4.0
MQ,ORD,FNT,-10.0
MQ,ORD,TOL,0.0
OO,SLC,ORD,-20.0
OO,DAY,MSP,2.0
OO,SMF,SEA,-17.0
VX,LGA,DAL,-2.0
VX,SFO,LAX,22.0
WN,DAL,ATL,-6.0
WN,DCA,MCI,-2.0
WN,DEN,ABQ,3.0
WN,BNA,MSY,-5.0
WN,TUS,SAN,-7.0
WN,ELP,DAL,89.0
WN,FLL,ATL,-5.0
WN,HOU,DAL,-8.0
WN,ISP,MCO,-3.0
WN,JAX,BNA,-7.0
WN,MCO,MCI,-8.0
WN,MDW,LAS,-7.0
WN,MDW,MCI,14.0
WN,MKE,RSW,35.0
WN,PHX,SEA,-13.0
WN,SAN,DEN,-17.0
WN,SAN,LAS,-9.0
AA,JFK,LAX,20.0
AA,DFW,ATL,-21.0
AA,DFW,MSY,-14.0
AA,DFW,PHL,-31.0
AA,ORD,PHX,-1.0
AA,MIA,LAX,0.0
AA,DFW,CLT,-11.0
AA,MCO,PHL,-6.0
AA,IND,CLT,-10.0
AA,PHL,TPA,-19.0
AA,CLE,CLT,10.0
AA,FLL,PHL,7.0
AA,PIT,CLT,6.0
AA,JAX,CLT,27.0
B6,SJU,STX,0.0
B6,LGB,SLC,-12.0
B6,LGA,SRQ,27.0
AS,ORD,SEA,-3.0
AS,ANC,ADQ,-7.0
AS,SNA,SEA,-19.0
AS,SEA,DEN,9.0
DL,ATL,DAB,35.0
EV,DTW,OMA,16.0
MQ,BMI,DFW,-9.0
UA,LGA,DEN,-10.0
UA,LAX,ORD,-41.0
EV,DTW,EWR,-13.0
OO,MSP,LSE,-8.0
OO,PHX,SFO,-18.0
UA,DEN,LAX,-19.0
UA,BOI,DEN,50.0
B6,SJU,BOS,31.0
DL,HNL,LAX,-13.0
EV,CHS,ATL,-8.0
NK,MCO,CLE,-7.0
AA,DCA,DFW,-9.0
DL,DTW,BOS,0.0
NK,DTW,RSW,-19.0
OO,ONT,SFO,-23.0
UA,SFO,IND,-39.0
DL,FLL,ATL,3.0
DL,JFK,ATL,-8.0
DL,LEX,ATL,-8.0
DL,ATL,TPA,-7.0
DL,MSP,JAX,-14.0
DL,DTW,BDL,-3.0
EV,IAH,LFT,-19.0
EV,IAH,PNS,-6.0
EV,ATL,AVL,-18.0
EV,MSY,ORD,-26.0
F9,ORD,TPA,-13.0
HA,OGG,SEA,9.0
NK,LAX,LAS,7.0
OO,PDX,FAT,-25.0
OO,ABR,MSP,115.0
UA,DEN,SAN,-13.0
UA,IAH,TPA,5.0
UA,DEN,ORD,-26.0
UA,RSW,DEN,-7.0
UA,DEN,CLE,-11.0
OO,SFO,MMH,11.0
WN,DEN,PHX,1.0
WN,ABQ,DAL,12.0
WN,BDL,BWI,7.0
WN,BNA,MDW,-2.0
WN,BWI,ALB,-13.0
WN,SNA,SEA,3.0
WN,STL,MCI,1.0
WN,LAS,SAN,15.0
WN,LAX,SFO,3.0
WN,MCI,STL,-3.0
WN,MSY,HOU,-9.0
WN,PDX,SMF,-9.0
WN,PHX,BUR,3.0
WN,SAN,DAL,8.0
WN,SEA,LAS,70.0
AA,DFW,BOS,-24.0
AA,LGA,MIA,-18.0
AA,PHL,DFW,42.0
AA,TPA,CLT,6.0
AA,ATL,CLT,5.0
AA,MCO,CLT,8.0
AA,BWI,CLT,0.0
B6,PBI,BOS,-12.0
B6,CHS,FLL,-23.0
AS,PDX,SNA,8.0
DL,IAH,ATL,-21.0
MQ,GRR,ORD,13.0
UA,IAH,ORD,-26.0
UA,EWR,LAS,-12.0
AA,ORD,LAX,-16.0
OO,FAT,DEN,-32.0
UA,FLL,DEN,-23.0
UA,SFO,ANC,-1.0
UA,SFO,MCO,-37.0
EV,MAF,DFW,-12.0
HA,KOA,HNL,0.0
OO,DTW,PIA,18.0
UA,MCO,IAD,-18.0
AA,ORD,SFO,-17.0
DL,MIA,JFK,-1.0
EV,BTR,DFW,3.0
EV,LGA,CLE,-19.0
MQ,SUX,ORD,-15.0
NK,MSP,TPA,-15.0
DL,FLL,BOS,298.0
DL,LGA,MIA,-23.0
DL,MKE,ATL,-12.0
EV,PIB,DFW,8.0
DL,OKC,ATL,-13.0
DL,BNA,ATL,-17.0
DL,DTW,ORD,-1.0
EV,IAH,ICT,-19.0
EV,MSP,CLE,-21.0
EV,ATL,BMI,-4.0
F9,IND,MCO,7.0
MQ,DFW,XNA,6.0
MQ,MIA,GNV,-15.0
NK,ORD,LAS,20.0
OO,SAN,BOI,-19.0
OO,DTW,MKE,22.0
OO,LAX,SBP,-12.0
UA,IAH,SFO,20.0
WN,DAL,PDX,-10.0
WN,DAL,SAT,-7.0
WN,BUF,BWI,-6.0
WN,TPA,CAK,-9.0
WN,IND,MCI,67.0
WN,LAS,BDL,-28.0
WN,LAS,OAK,27.0
WN,LAS,SLC,26.0
WN,MDW,MCO,4.0
WN,MDW,PHL,4.0
WN,OAK,LAS,23.0
WN,PHX,ONT,-3.0
WN,PHX,SFO,-8.0
WN,RDU,STL,17.0
WN,SFO,DEN,42.0
WN,SJC,BUR,38.0
AA,JFK,DCA,-3.0
AA,DFW,DEN,3.0
AA,DFW,LAX,-3.0
AA,PHL,SJU,42.0
B6,DCA,FLL,-10.0
AS,MSP,SEA,-15.0
DL,MCI,ATL,0.0
DL,MSY,MSP,-6.0
MQ,BNA,ORD,-19.0
AA,AUS,PHX,-2.0
DL,RSW,MSP,11.0
EV,TUL,ATL,-4.0
MQ,SGF,ORD,-9.0
B6,BOS,RSW,5.0
B6,BOS,BUF,-7.0
EV,IAH,ATL,-22.0
EV,DTW,ORF,1.0
HA,ITO,HNL,-4.0
DL,CLT,ATL,-23.0
EV,TUL,ORD,-12.0
MQ,CID,ORD,-8.0
OO,DTW,MQT,51.0
B6,HPN,PBI,-18.0
DL,PBI,DTW,9.0
DL,DTW,MCO,-4.0
DL,MIA,LGA,-2.0
DL,TPA,ATL,10.0
DL,DAL,ATL,-12.0
DL,STL,ATL,-16.0
DL,JFK,LAX,-23.0
DL,ATL,LGA,-28.0
DL,GSP,ATL,-3.0
DL,LAX,MEM,-12.0
DL,FLL,LGA,-22.0
EV,DFW,TYS,212.0
F9,CLE,RSW,-25.0
F9,TYS,DEN,-2.0
HA,HNL,LIH,10.0
MQ,FAR,ORD,-26.0
MQ,OKC,ORD,23.0
MQ,ORD,FWA,-6.0
MQ,OMA,ORD,-23.0
OO,DTW,MBS,7.0
OO,MSP,GRB,-10.0
OO,DTW,LAN,19.0
OO,DFW,IAH,-6.0
OO,ORD,FAR,-1.0
VX,LAX,SFO,-11.0
WN,CMH,BOS,-11.0
WN,CMH,MDW,23.0
WN,DEN,HOU,-5.0
WN,ATL,PHL,-4.0
WN,BWI,PWM,9.0
WN,STL,SNA,-9.0
WN,TPA,ATL,1.0
WN,TUS,LAS,11.0
WN,EWR,MDW,57.0
WN,HOU,ATL,-5.0
WN,LAX,OAK,125.0
WN,LAX,PHX,42.0
WN,MCO,MKE,-16.0
WN,MCO,SJU,-3.0
WN,MDW,LGA,-11.0
WN,PHX,HOU,-4.0
WN,PHX,OAK,-11.0
WN,SAT,LAS,-9.0
WN,SJC,LAX,22.0
WN,SJC,SNA,-11.0
WN,SJU,MCO,-27.0
AA,JFK,MIA,-10.0
AA,JFK,BOS,-14.0
AA,DFW,SEA,-27.0
AA,DFW,SFO,-5.0
AA,RDU,DFW,22.0
AA,DFW,IND,-15.0
AA,MIA,RDU,-18.0
AA,DFW,BWI,-20.0
AA,SFO,PHX,-13.0
AA,PHL,RSW,-10.0
AA,ORD,CLT,0.0
AA,PHL,FLL,-25.0
AS,LIH,OAK,-37.0
B6,JFK,RSW,-4.0
B6,SJU,JFK,-21.0
B6,AUS,LGB,-11.0
EV,EWN,ATL,-12.0
HA,HNL,OGG,9.0
EV,PIA,ORD,17.0
OO,DVL,DEN,11.0
AA,TPA,MIA,-14.0
AA,MCO,DFW,-15.0
DL,DTW,LAS,-2.0
EV,ATL,GTR,-13.0
MQ,IND,ORD,-20.0
MQ,MCI,ORD,-16.0
OO,OMA,MSP,-6.0
OO,MSP,SAT,5.0
B6,JFK,PBI,2.0
OO,BRD,MSP,-14.0
UA,FLL,ORD,-26.0
UA,DEN,LGA,-20.0
DL,JAX,ATL,18.0
EV,VPS,DFW,2.0
EV,DFW,MLU,-2.0
F9,IAH,DEN,154.0
MQ,DFW,SGF,-15.0
MQ,LIT,DFW,38.0
MQ,DFW,AMA,14.0
OO,SLC,SEA,-19.0
OO,ICT,ORD,-14.0
UA,IAD,SFO,-19.0
UA,ORD,MSP,-21.0
UA,IAH,SAT,17.0
VX,LAX,JFK,122.0
WN,DAL,AUS,11.0
WN,DEN,BWI,-14.0
WN,DEN,OKC,-4.0
WN,ATL,MCI,11.0
WN,BWI,MHT,-10.0
WN,STL,DEN,-8.0
WN,TPA,BWI,2.0
WN,MCI,MCO,-10.0
WN,OAK,DEN,-13.0
WN,OAK,PHX,-3.0
WN,ONT,PHX,70.0
WN,SAT,BWI,-3.0
WN,SEA,DEN,12.0
WN,SJU,BWI,-27.0
AA,LGA,ORD,-25.0
AA,DEN,DFW,23.0
AA,DFW,IAH,5.0
AA,SJU,CLT,-13.0
AA,PHX,MSP,25.0
AA,PHL,RDU,-2.0
AA,PHX,DEN,2.0
AA,SJU,PHL,8.0
AA,PHL,PHX,12.0
AA,IAH,CLT,-3.0
AA,PHL,PBI,1.0
AS,KOA,SJC,2.0
B6,JFK,SAV,10.0
B6,MCO,BOS,-22.0
AS,SJC,SEA,-9.0
AS,SEA,SAN,-8.0
AS,PHX,SEA,-21.0
DL,MIA,DTW,-13.0
EV,PNS,DFW,36.0
EV,IAH,DSM,-7.0
EV,DTW,CHS,-6.0
OO,DTW,ITH,9.0
EV,ORD,AZO,-23.0
MQ,XNA,ORD,-10.0
NK,ATL,IAH,20.0
OO,ORD,SPI,-11.0
OO,ORD,FWA,2.0
OO,DTW,APN,15.0
UA,EWR,RSW,-24.0
OO,ORD,DSM,69.0
B6,JAX,FLL,100.0
DL,RSW,DTW,-11.0
DL,DTW,FLL,-12.0
EV,IAH,CRP,6.0
EV,ORD,LEX,14.0
NK,TPA,ORD,14.0
UA,IAH,FLL,-10.0
DL,DTW,IND,7.0
EV,JAN,DFW,-10.0
EV,ORD,ATW,2.0
HA,LIH,HNL,8.0
DL,DTW,SFO,-18.0
DL,DTW,RSW,-8.0
MQ,BHM,MIA,-2.0
MQ,DFW,ICT,-14.0
MQ,FWA,ORD,-27.0
MQ,DFW,MHK,-17.0
NK,DFW,LAX,5.0
MQ,DFW,MAF,12.0
UA,ORD,LAX,-19.0
UA,MCO,DEN,-43.0
VX,LAS,SFO,3.0
WN,DCA,MSY,-10.0
WN,DEN,LAS,23.0
WN,ATL,CMH,1.0
WN,ATL,DTW,-14.0
WN,ATL,MKE,13.0
WN,ATL,MSP,17.0
WN,AUS,DEN,-14.0
WN,BNA,TPA,-9.0
WN,BWI,CHS,-3.0
WN,BWI,MCO,-16.0
WN,SNA,SJC,9.0
WN,STL,PHX,24.0
WN,TUL,PHX,-11.0
WN,FLL,BWI,-13.0
WN,LAS,ABQ,15.0
WN,LAX,LAS,22.0
WN,MCO,DEN,-7.0
WN,MCO,SAT,-7.0
WN,MDW,PIT,-11.0
WN,PHX,SLC,4.0
WN,SFO,SAN,-6.0
AA,MIA,TPA,-6.0
AA,DFW,SAN,-2.0
AA,PHX,DCA,-20.0
AA,PHL,LAS,17.0
AA,ORD,PHL,-9.0
AA,PHX,PHL,-30.0
AA,LGA,CLT,-8.0
B6,MCO,JFK,47.0
AS,ANC,SEA,15.0
AS,SEA,ANC,-15.0
AS,SEA,SJC,-2.0
AS,SEA,LAX,3.0
AS,DEN,SEA,24.0
AS,OGG,SJC,-33.0
DL,ATL,OMA,7.0
UA,SFO,DEN,-27.0
DL,DTW,PHX,8.0
OO,BOI,LAX,7.0
UA,SEA,SFO,-21.0
UA,IAH,LAX,-2.0
AA,MSY,DFW,-12.0
EV,IAH,BHM,-3.0
EV,IAH,MOB,-10.0
OO,IAH,MKE,-6.0
UA,LAX,OGG,-7.0
B6,FLL,AUS,-7.0
DL,PIT,ATL,-9.0
NK,DTW,TPA,1.0
OO,SFO,MFR,-7.0
OO,SFO,SEA,-7.0
OO,SFO,PSP,-32.0
AA,MSP,ORD,1.0
AA,CLT,ATL,-3.0
AA,CLT,JAX,21.0
B6,JFK,SJU,-4.0
B6,JFK,SFO,-17.0
B6,JFK,MCO,-7.0
DL,ATL,FLL,-1.0
DL,PBI,LGA,-22.0
DL,LGA,ATL,-24.0
DL,TPA,DTW,-11.0
DL,SRQ,DTW,-7.0
DL,DFW,ATL,-23.0
DL,ATL,MIA,0.0
DL,PDX,LAX,45.0
DL,RDU,ATL,-8.0
DL,DCA,ATL,1.0
DL,MCO,LGA,-36.0
DL,SFO,LAX,69.0
DL,JFK,ORD,39.0
EV,ORD,IND,-8.0
EV,ORD,GSP,-7.0
EV,LGA,CLT,9.0
F9,DTW,TTN,-7.0
F9,IAD,ATL,-18.0
HA,OGG,HNL,5.0
MQ,STL,DFW,4.0
NK,BOS,LAS,125.0
OO,PHX,DRO,-19.0
OO,PHX,GJT,-8.0
OO,SEA,OAK,-10.0
OO,RAP,MSP,5.0
OO,DEN,MKE,-25.0
OO,SFO,EUG,30.0
UA,ORD,DEN,36.0
UA,ORD,LGA,-4.0
UA,ORD,IAH,-2.0
UA,MCO,EWR,-15.0
UA,IAH,MCO,-12.0
UA,IAH,EWR,2.0
UA,IAD,LAX,0.0
NK,DTW,LGA,3.0
OO,MKE,DEN,14.0
WN,DAL,HOU,-4.0
WN,DCA,DAL,20.0
WN,DCA,MCO,-14.0
WN,DEN,AUS,-2.0
WN,ATL,RIC,11.0
WN,AUS,DAL,-16.0
WN,BDL,MCO,77.0
WN,BWI,BOS,-8.0
WN,SMF,SAN,51.0
WN,TPA,MEM,-3.0
WN,FLL,MSY,-1.0
WN,HOU,STL,-3.0
WN,IND,BOS,20.0
WN,IND,TPA,-5.0
WN,LAS,MCO,-11.0
WN,MAF,DAL,14.0
WN,MDW,BNA,-4.0
WN,MDW,STL,30.0
WN,MSY,PHX,12.0
WN,PHX,DAL,-5.0
WN,RDU,BWI,2.0
WN,SAN,LAS,-6.0
WN,SAN,SFO,-9.0
AA,LGA,DFW,4.0
AA,BOS,ORD,-8.0
AA,HDN,DFW,-25.0
AA,LAX,ATL,-27.0
AA,PHX,DFW,8.0
AA,CLT,PHL,-2.0
AA,PHX,CLT,-9.0
AA,FLL,DCA,-16.0
AA,BNA,LAX,8.0
AA,DCA,LGA,-34.0
B6,MCO,DCA,-15.0
B6,EWR,PBI,10.0
AS,SEA,EWR,25.0
AS,LAX,SEA,-6.0
EV,BOS,CLE,-15.0
EV,MKE,LGA,-26.0
UA,DEN,IAH,9.0
UA,IAD,DEN,7.0
AA,SJU,ORD,-21.0
EV,GRK,IAH,-4.0
NK,LAS,PDX,-1.0
AA,JAX,DFW,-17.0
HA,HNL,ITO,13.0
AA,EGE,DFW,-26.0
DL,MCO,DTW,7.0
OO,ORD,SBN,-7.0
OO,SBA,SFO,-16.0
AA,IAH,DFW,-3.0
DL,JFK,MSP,-7.0
DL,ATL,MCO,30.0
DL,ATL,LIT,-4.0
DL,JFK,MCO,-9.0
EV,DFW,LFT,1.0
EV,ATL,AEX,-11.0
EV,JAN,ATL,-14.0
HA,OGG,LIH,3.0
MQ,ASE,DFW,-19.0
OO,FLG,PHX,13.0
OO,YUM,PHX,-11.0
OO,OKC,SEA,-37.0
OO,LAX,BOI,-26.0
UA,ORD,LAS,0.0
UA,ORD,DCA,9.0
UA,ORD,SFO,-24.0
UA,EWR,BOS,33.0
WN,DEN,OAK,-2.0
WN,ATL,DCA,-19.0
WN,ATL,RDU,10.0
WN,HOU,BWI,-18.0
WN,LAX,ABQ,32.0
WN,MDW,OAK,-6.0
WN,MKE,LAS,-12.0
WN,OAK,SEA,2.0
WN,ONT,LAS,6.0
WN,SAN,OAK,-6.0
WN,SAN,TUS,49.0
AA,TPA,DFW,-9.0
AA,SAT,DFW,-11.0
AA,PHL,MIA,17.0
AA,COS,DFW,-9.0
AA,GUC,DFW,-19.0
AA,DFW,TUL,31.0
AA,PHX,TPA,12.0
AA,PHL,SFO,-14.0
AA,DCA,PBI,-10.0
AA,RDU,CLT,3.0
B6,BOS,CLE,-5.0
B6,DCA,MCO,42.0
DL,ATL,DAL,-6.0
NK,FLL,LGA,-12.0
OO,DTW,FWA,5.0
UA,DCA,DEN,-6.0
EV,TLH,DFW,-6.0
MQ,LBB,DFW,1.0
NK,FLL,ATL,8.0
OO,SAT,SFO,7.0
AA,STL,ORD,6.0
DL,PNS,ATL,-7.0
DL,CVG,LAS,15.0
UA,TPA,DEN,-11.0
UA,ORD,PDX,-24.0
UA,ORD,SEA,-36.0
OO,DFW,SFO,36.0
AA,CMH,DFW,5.0
DL,ATL,MKE,-3.0
DL,ATL,CMH,2.0
DL,ATL,SRQ,-13.0
DL,SEA,SLC,-8.0
EV,EWR,TYS,10.0
EV,ATL,CLE,2.0
EV,ATL,TRI,-14.0
F9,DEN,ATL,-16.0
HA,HNL,LAS,-19.0
MQ,MSN,ORD,-17.0
MQ,JFK,BWI,-8.0
OO,MRY,PHX,-7.0
OO,RDD,SFO,-15.0
MQ,GJT,DFW,-19.0
UA,SFO,HNL,-16.0
UA,ORD,PHX,14.0
VX,LAX,LAS,2.0
WN,CMH,TPA,31.0
WN,ABQ,LAS,3.0
WN,ATL,IND,1.0
WN,BOS,BWI,-5.0
WN,BUR,SMF,67.0
WN,BWI,BUF,20.0
WN,BWI,ROC,-4.0
WN,SMF,BUR,-7.0
WN,SMF,LAX,-3.0
WN,SNA,PDX,3.0
WN,DEN,SLC,99.0
WN,FLL,RDU,-13.0
WN,LAS,HOU,5.0
WN,LAS,RNO,17.0
WN,LAX,DEN,26.0
WN,MSP,PHX,-4.0
WN,OAK,SNA,-5.0
WN,PHX,ATL,-23.0
WN,PIT,TPA,13.0
WN,SAT,LAX,-2.0
AA,CLT,DFW,44.0
AA,PHX,FLL,-28.0
AA,PHL,LAX,-5.0
AA,CLT,MIA,-16.0
AA,CLT,RIC,15.0
AA,CLT,BOS,-9.0
B6,TPA,JFK,-2.0
B6,BOS,FLL,5.0
B6,BOS,DTW,17.0
DL,ATL,CVG,-6.0
B6,RSW,BOS,-16.0
EV,BHM,IAH,-8.0
EV,ATL,LEX,-11.0
OO,LAX,DFW,-29.0
AA,MIA,LGA,-14.0
DL,FLL,DTW,-1.0
UA,IAH,DEN,-1.0
B6,RSW,LGA,1.0
MQ,LFT,DFW,-19.0
OO,SFO,SMF,-16.0
AA,CLT,MCI,-4.0
AA,CLT,LGA,5.0
B6,LGB,OAK,-9.0
DL,ATL,LAX,40.0
DL,ATL,ORD,7.0
DL,ATL,SAN,-1.0
DL,VPS,ATL,-11.0
EV,MKE,EWR,-19.0
EV,IAH,XNA,-4.0
EV,ATL,IAH,-3.0
MQ,COU,ORD,-12.0
NK,MSP,LAX,5.0
NK,DFW,PHL,-21.0
NK,DFW,MCO,246.0
OO,PHX,FLG,-13.0
OO,SFO,SBA,-9.0
UA,TPA,ORD,-16.0
UA,ORD,SNA,-12.0
UA,LAX,HNL,-21.0
WN,BNA,RDU,8.0
WN,BWI,ORF,0.0
WN,BWI,TPA,-9.0
WN,FLL,PIT,-5.0
WN,HOU,MSY,2.0
WN,LAS,IAD,-27.0
WN,LAS,SJC,44.0
WN,LAX,MCI,23.0
WN,MDW,CLT,6.0
WN,PDX,LAS,1.0
WN,PHX,STL,5.0
AA,JFK,SFO,-22.0
AA,LAX,SFO,-17.0
AA,PHX,DTW,-21.0
AA,SJC,PHX,20.0
AA,CLT,PHX,27.0
AA,PHX,BOS,3.0
AA,PHX,PIT,-25.0
AA,PHL,DFW,11.0
AA,PHL,PIT,-25.0
AA,CLT,FLL,-9.0
AA,PHL,BOS,-7.0
AA,CLT,RDU,-15.0
AS,SEA,SNA,-10.0
AS,SEA,ATL,2.0
EV,ATL,CHA,-15.0
B6,LGA,FLL,19.0
EV,ACT,DFW,-22.0
EV,GTR,ATL,4.0
OO,SJC,LAX,7.0
UA,DEN,EWR,-28.0
UA,ORD,SAN,-9.0
B6,FLL,BOS,-10.0
DL,ATL,SAV,-10.0
F9,DEN,MSP,-5.0
MQ,ORD,BWI,-13.0
UA,ANC,SFO,34.0
B6,FLL,JFK,2.0
HA,HNL,OGG,3.0
AA,ABQ,DFW,-11.0
DL,ATL,SEA,-19.0
DL,ATL,MEM,-8.0
DL,MSY,ATL,-14.0
DL,SEA,KOA,8.0
DL,SRQ,ATL,-9.0
HA,HNL,JFK,-25.0
HA,KOA,HNL,-8.0
OO,SBA,PHX,-16.0
OO,TUS,PHX,2.0
OO,SAN,LAX,-11.0
VX,SFO,LAS,-4.0
WN,DCA,MDW,-2.0
WN,DEN,EWR,3.0
WN,ATL,DAL,11.0
WN,SNA,LAS,7.0
WN,STL,ATL,-6.0
WN,LAS,LAX,-1.0
